"index","probe.id","gene.id"
10258,"200809_x_at","RPL12"
10259,"200810_s_at","CIRBP"
10260,"200811_at","CIRBP"
10261,"200812_at","CCT7"
10262,"200813_s_at","PAFAH1B1"
10263,"200814_at","PSME1"
10264,"200815_s_at","PAFAH1B1"
10265,"200816_s_at","PAFAH1B1"
10266,"200817_x_at","RPS10"
10267,"200818_at","ATP5PO"
10268,"200819_s_at","RPS15"
10269,"200820_at","PSMD8"
10270,"200821_at","LAMP2"
10271,"200822_x_at","TPI1"
10272,"200823_x_at","RPL29"
10273,"200824_at","GSTP1"
10274,"200825_s_at","HYOU1"
10275,"200826_at","SNRPD2"
10276,"200827_at","PLOD1"
10277,"200828_s_at","ZNF207"
10278,"200829_x_at","ZNF207"
10279,"200830_at","PSMD2"
10280,"200831_s_at","SCD"
10281,"200832_s_at","SCD"
10282,"200833_s_at","RAP1B"
10283,"200834_s_at","RPS21"
10284,"200835_s_at","MAP4"
10285,"200836_s_at","MAP4"
10286,"200837_at","BCAP31"
10287,"200838_at","CTSB"
10288,"200839_s_at","CTSB"
10289,"200840_at","KARS1"
10290,"200841_s_at","EPRS1"
10291,"200842_s_at","EPRS1"
10292,"200843_s_at","EPRS1"
10293,"200844_s_at","PRDX6"
10294,"200845_s_at","PRDX6"
10295,"200846_s_at","PPP1CA"
10296,"200847_s_at","SARAF"
10297,"200848_at","AHCYL1"
10298,"200849_s_at","AHCYL1"
10299,"200850_s_at","AHCYL1"
10300,"200851_s_at","IST1"
10301,"200852_x_at","GNB2"
10302,"200853_at","H2AZ1"
10303,"200854_at","NCOR1"
10304,"200855_at","NCOR1"
10305,"200856_x_at","NCOR1"
10306,"200857_s_at","NCOR1"
10307,"200858_s_at","RPS8"
10308,"200859_x_at","FLNA"
10309,"200860_s_at","CNOT1"
10310,"200861_at","CNOT1"
10311,"200862_at","DHCR24"
10312,"200863_s_at","RAB11A"
10313,"200864_s_at","RAB11A"
10314,"200865_at","EIF3F"
10315,"200866_s_at","PSAP"
10316,"200867_at","RNF114"
10317,"200868_s_at","RNF114"
10318,"200869_at","RPL18A"
10319,"200870_at","STRAP"
10320,"200871_s_at","PSAP"
10321,"200872_at","S100A10"
10322,"200873_s_at","CCT8"
10323,"200874_s_at","NOP56"
10324,"200875_s_at","NOP56"
10325,"200876_s_at","PSMB1"
10326,"200877_at","CCT4"
10327,"200878_at","EPAS1"
10328,"200879_s_at","EPAS1"
10329,"200880_at","DNAJA1"
10330,"200881_s_at","DNAJA1"
10331,"200882_s_at","PSMD4"
10332,"200883_at","UQCRC2"
10333,"200884_at","CKB"
